Degray Reservoir Calibration Data
Param#                            2
Br	RM	JDay	Depth	Temp
			(m)	Deg C
1	150.0	119.5	33.0	7.5
1	150.0	119.5	34.0	7.5
1	150.0	119.5	35.0	7.5
1	150.0	119.5	36.0	7.5
1	150.0	119.5	37.0	7.5
1	150.0	119.5	38.0	7.5
1	150.0	119.5	39.0	7.5
1	150.0	119.5	40.0	7.5
1	150.0	119.5	41.0	7.5
1	150.0	119.5	42.0	7.4
1	150.0	119.5	43.0	7.4
1	150.0	119.5	44.0	7.4
1	150.0	119.5	45.0	7.4
1	150.0	119.5	46.0	7.4
1	150.0	119.5	47.0	7.4
1	150.0	135.5	0.0	20.6
1	150.0	135.5	1.0	20.6
1	150.0	135.5	2.0	20.6
1	150.0	135.5	3.0	20.6
1	150.0	135.5	4.0	20.6
1	150.0	135.5	5.0	20.5
1	150.0	135.5	6.0	19.6
1	150.0	135.5	7.0	16.4
1	150.0	135.5	8.0	15.9
1	150.0	135.5	9.0	14.1
1	150.0	135.5	10.0	13.6
1	150.0	135.5	11.0	13.2
1	150.0	135.5	12.0	12.8
1	150.0	135.5	13.0	12.6
1	150.0	135.5	14.0	12.3
1	150.0	135.5	15.0	11.5
1	150.0	135.5	16.0	10.8
1	150.0	135.5	17.0	10.2
1	150.0	135.5	18.0	9.8
1	150.0	135.5	19.0	9.5
1	150.0	135.5	20.0	9.0
1	150.0	135.5	21.0	8.8
1	150.0	135.5	22.0	8.7
1	150.0	135.5	23.0	8.4
1	150.0	135.5	24.0	8.3
1	150.0	135.5	25.0	8.1
1	150.0	135.5	26.0	8.1
1	150.0	135.5	27.0	7.9
1	150.0	135.5	28.0	7.8
1	150.0	135.5	29.0	7.8
1	150.0	135.5	30.0	7.8
1	150.0	135.5	31.0	7.8
1	150.0	135.5	32.0	7.7
1	150.0	135.5	33.0	7.7
1	150.0	135.5	34.0	7.7
1	150.0	135.5	35.0	7.6
1	150.0	135.5	36.0	7.6
1	150.0	135.5	37.0	7.6
1	150.0	135.5	38.0	7.6
1	150.0	135.5	39.0	7.6
1	150.0	135.5	40.0	7.6
1	150.0	135.5	41.0	7.6
1	150.0	135.5	42.0	7.5
1	150.0	135.5	43.0	7.5
1	150.0	135.5	44.0	7.5
1	150.0	135.5	45.0	7.5
1	150.0	135.5	46.0	7.5
1	150.0	135.5	47.0	7.5
1	150.0	147.5	0.0	27.3
1	150.0	147.5	1.0	26.5
1	150.0	147.5	2.0	25.8
1	150.0	147.5	3.0	24.0
1	150.0	147.5	4.0	23.3
1	150.0	147.5	5.0	22.2
1	150.0	147.5	6.0	20.8
1	150.0	147.5	7.0	19.7
1	150.0	147.5	8.0	18.4
1	150.0	147.5	9.0	17.1
1	150.0	147.5	10.0	15.9
1	150.0	147.5	11.0	14.2
1	150.0	147.5	12.0	13.7
1	150.0	147.5	13.0	13.3
1	150.0	147.5	14.0	13.1
1	150.0	147.5	15.0	12.4
1	150.0	147.5	16.0	12.0
1	150.0	147.5	17.0	11.3
1	150.0	147.5	18.0	10.7
1	150.0	147.5	19.0	9.8
1	150.0	147.5	20.0	9.4
1	150.0	147.5	21.0	9.0
1	150.0	147.5	22.0	8.8
1	150.0	147.5	23.0	8.6
1	150.0	147.5	24.0	8.4
1	150.0	147.5	25.0	8.2
1	150.0	147.5	26.0	8.1
1	150.0	147.5	27.0	8.1
1	150.0	147.5	28.0	8.0
1	150.0	147.5	29.0	7.9
1	150.0	147.5	30.0	7.9
1	150.0	147.5	31.0	7.9
1	150.0	147.5	32.0	7.8
1	150.0	147.5	33.0	7.8
1	150.0	147.5	34.0	7.8
1	150.0	147.5	35.0	7.8
1	150.0	147.5	36.0	7.8
1	150.0	147.5	37.0	7.7
1	150.0	147.5	38.0	7.7
1	150.0	147.5	39.0	7.7
1	150.0	147.5	40.0	7.7
1	150.0	147.5	41.0	7.7
1	150.0	147.5	42.0	7.7
1	150.0	147.5	43.0	7.7
1	150.0	147.5	44.0	7.7
1	150.0	147.5	45.0	7.7
1	150.0	147.5	46.0	7.7
1	150.0	147.5	47.0	7.7
1	150.0	147.5	48.0	7.7
1	150.0	147.5	49.0	7.7
1	150.0	161.5	0.0	27.8
1	150.0	161.5	1.0	27.5
1	150.0	161.5	2.0	27.3
1	150.0	161.5	3.0	27.1
1	150.0	161.5	4.0	26.9
1	150.0	161.5	5.0	26.8
1	150.0	161.5	6.0	25.4
1	150.0	161.5	7.0	24.1
1	150.0	161.5	8.0	20.1
1	150.0	161.5	9.0	18.5
1	150.0	161.5	10.0	16.9
1	150.0	161.5	11.0	15.5
1	150.0	161.5	12.0	14.7
1	150.0	161.5	13.0	13.9
1	150.0	161.5	14.0	13.4
1	150.0	161.5	15.0	12.7
1	150.0	161.5	16.0	12.1
1	150.0	161.5	17.0	11.2
1	150.0	161.5	18.0	10.5
1	150.0	161.5	19.0	10.0
1	150.0	161.5	20.0	9.6
1	150.0	161.5	21.0	9.2
1	150.0	161.5	22.0	8.9
1	150.0	161.5	23.0	8.7
1	150.0	161.5	24.0	8.5
1	150.0	161.5	25.0	8.4
1	150.0	161.5	26.0	8.2
1	150.0	161.5	27.0	8.1
1	150.0	161.5	28.0	8.1
1	150.0	161.5	29.0	8.0
1	150.0	161.5	30.0	8.0
1	150.0	161.5	31.0	7.9
1	150.0	161.5	32.0	7.9
1	150.0	161.5	33.0	7.9
1	150.0	161.5	34.0	7.9
1	150.0	161.5	35.0	7.8
1	150.0	161.5	36.0	7.8
1	150.0	161.5	37.0	7.8
1	150.0	161.5	38.0	7.8
1	150.0	161.5	39.0	7.8
1	150.0	161.5	40.0	7.8
1	150.0	161.5	41.0	7.8
1	150.0	161.5	42.0	7.8
1	150.0	161.5	43.0	7.8
1	150.0	161.5	44.0	7.8
1	150.0	161.5	45.0	7.8
1	150.0	161.5	46.0	7.8
1	150.0	161.5	47.0	7.7
1	150.0	161.5	48.0	7.7
1	150.0	161.5	49.0	7.8
1	150.0	161.5	50.0	7.8
1	150.0	175.5	0.0	29.4
1	150.0	175.5	1.0	28.9
1	150.0	175.5	2.0	28.4
1	150.0	175.5	3.0	28.3
1	150.0	175.5	4.0	28.2
1	150.0	175.5	5.0	28.2
1	150.0	175.5	6.0	28.2
1	150.0	175.5	7.0	25.8
1	150.0	175.5	8.0	23.1
1	150.0	175.5	9.0	19.4
1	150.0	175.5	10.0	18.2
1	150.0	175.5	11.0	16.1
1	150.0	175.5	12.0	15.0
1	150.0	175.5	13.0	14.0
1	150.0	175.5	14.0	13.1
1	150.0	175.5	15.0	12.4
1	150.0	175.5	16.0	12.1
1	150.0	175.5	17.0	11.5
1	150.0	175.5	18.0	10.8
1	150.0	175.5	19.0	10.4
1	150.0	175.5	20.0	9.9
1	150.0	175.5	21.0	9.4
1	150.0	175.5	22.0	9.1
1	150.0	175.5	23.0	8.9
1	150.0	175.5	24.0	8.8
1	150.0	175.5	25.0	8.6
1	150.0	175.5	26.0	8.5
1	150.0	175.5	27.0	8.4
1	150.0	175.5	28.0	8.4
1	150.0	175.5	29.0	8.3
1	150.0	175.5	30.0	8.2
1	150.0	175.5	31.0	8.2
1	150.0	175.5	32.0	8.1
1	150.0	175.5	33.0	8.0
1	150.0	175.5	34.0	8.0
1	150.0	175.5	35.0	8.0
1	150.0	175.5	36.0	8.0
1	150.0	175.5	37.0	7.9
1	150.0	175.5	38.0	7.9
1	150.0	175.5	39.0	7.9
1	150.0	175.5	40.0	7.9
1	150.0	175.5	41.0	7.9
1	150.0	175.5	42.0	7.9
1	150.0	175.5	43.0	7.9
1	150.0	175.5	44.0	7.9
1	150.0	175.5	45.0	7.9
1	150.0	175.5	46.0	7.9
1	150.0	175.5	47.0	7.9
1	150.0	175.5	48.0	7.9
1	150.0	175.5	49.0	7.9
1	150.0	189.5	0.0	33.8
1	150.0	189.5	1.0	33.5
1	150.0	189.5	2.0	33.2
1	150.0	189.5	3.0	32.9
1	150.0	189.5	4.0	32.9
1	150.0	189.5	5.0	32.6
1	150.0	189.5	6.0	28.0
1	150.0	189.5	7.0	23.8
1	150.0	189.5	8.0	21.9
1	150.0	189.5	9.0	19.5
1	150.0	189.5	10.0	17.8
1	150.0	189.5	11.0	16.6
1	150.0	189.5	12.0	15.4
1	150.0	189.5	13.0	14.4
1	150.0	189.5	14.0	13.4
1	150.0	189.5	15.0	12.5
1	150.0	189.5	16.0	12.3
1	150.0	189.5	17.0	11.5
1	150.0	189.5	18.0	11.1
1	150.0	189.5	19.0	10.2
1	150.0	189.5	20.0	9.9
1	150.0	189.5	21.0	9.5
1	150.0	189.5	22.0	9.3
1	150.0	189.5	23.0	9.1
1	150.0	189.5	24.0	8.9
1	150.0	189.5	25.0	8.7
1	150.0	189.5	26.0	8.6
1	150.0	189.5	27.0	8.5
1	150.0	189.5	28.0	8.5
1	150.0	189.5	29.0	8.4
1	150.0	189.5	30.0	8.4
1	150.0	189.5	31.0	8.3
1	150.0	189.5	32.0	8.3
1	150.0	189.5	33.0	8.2
1	150.0	189.5	34.0	8.2
1	150.0	189.5	35.0	8.2
1	150.0	189.5	36.0	8.2
1	150.0	189.5	37.0	8.1
1	150.0	189.5	38.0	8.1
1	150.0	189.5	39.0	8.1
1	150.0	189.5	40.0	8.1
1	150.0	189.5	41.0	8.1
1	150.0	189.5	42.0	8.1
1	150.0	189.5	43.0	8.1
1	150.0	189.5	44.0	8.1
1	150.0	189.5	45.0	8.1
1	150.0	189.5	46.0	8.1
1	150.0	189.5	47.0	8.1
1	150.0	189.5	48.0	8.1
1	150.0	189.5	49.0	8.1
1	150.0	203.5	0.0	31.9
1	150.0	203.5	1.0	31.9
1	150.0	203.5	2.0	31.9
1	150.0	203.5	3.0	31.9
1	150.0	203.5	4.0	31.9
1	150.0	203.5	5.0	31.8
1	150.0	203.5	6.0	29.9
1	150.0	203.5	7.0	25.6
1	150.0	203.5	8.0	22.2
1	150.0	203.5	9.0	18.8
1	150.0	203.5	10.0	17.6
1	150.0	203.5	11.0	15.7
1	150.0	203.5	12.0	15.2
1	150.0	203.5	13.0	14.1
1	150.0	203.5	14.0	13.4
1	150.0	203.5	15.0	13.1
1	150.0	203.5	16.0	12.3
1	150.0	203.5	17.0	11.7
1	150.0	203.5	18.0	10.7
1	150.0	203.5	19.0	10.2
1	150.0	203.5	20.0	9.9
1	150.0	203.5	21.0	9.4
1	150.0	203.5	22.0	9.1
1	150.0	203.5	23.0	9.0
1	150.0	203.5	24.0	8.9
1	150.0	203.5	25.0	8.6
1	150.0	203.5	26.0	8.6
1	150.0	203.5	27.0	8.4
